city,event,dates,match_type_number,player_of_match,winner,win_by,overs,season,team1,team2,toss_winner,toss_decision,venue,wickets/runs
no result,Pakistan v West Indies T20I Series,2016-09-23,568,Imad Wasim,Pakistan,wickets,20,2016/17,Pakistan,West Indies,Pakistan,field,Dubai International Cricket Stadium,9
no result,Pakistan v West Indies T20I Series,2016-09-24,569,Sarfraz Ahmed,Pakistan,runs,20,2016/17,Pakistan,West Indies,West Indies,field,Dubai International Cricket Stadium,16
Abu Dhabi,Pakistan v West Indies T20I Series,2016-09-27,570,Imad Wasim,Pakistan,wickets,20,2016/17,Pakistan,West Indies,Pakistan,field,Sheikh Zayed Stadium,8
Barbados,Pakistan in West Indies T20I Series,2017-03-26,602,Shadab Khan,Pakistan,wickets,20,2017,West Indies,Pakistan,Pakistan,field,"Kensington Oval, Bridgetown",6
Trinidad,Pakistan in West Indies T20I Series,2017-03-30,603,Shadab Khan,Pakistan,runs,20,2017,West Indies,Pakistan,West Indies,field,"Queen's Park Oval, Port of Spain",3
Trinidad,Pakistan in West Indies T20I Series,2017-04-01,604,E Lewis,West Indies,wickets,20,2017,West Indies,Pakistan,Pakistan,bat,"Queen's Park Oval, Port of Spain",7
Trinidad,Pakistan in West Indies T20I Series,2017-04-02,605,Hasan Ali,Pakistan,wickets,20,2017,West Indies,Pakistan,Pakistan,field,"Queen's Park Oval, Port of Spain",7
Wellington,Pakistan tour of New Zealand,2018-01-22,639,C Munro,New Zealand,wickets,20,2017/18,Pakistan,New Zealand,New Zealand,field,Westpac Stadium,7
Auckland,Pakistan tour of New Zealand,2018-01-25,640,Fakhar Zaman,Pakistan,runs,20,2017/18,Pakistan,New Zealand,Pakistan,bat,Eden Park,48
Mount Maunganui,Pakistan tour of New Zealand,2018-01-28,641,Shadab Khan,Pakistan,runs,20,2017/18,Pakistan,New Zealand,Pakistan,bat,Bay Oval,18
Lahore,Independence Cup,2017-09-12,619,Babar Azam,Pakistan,runs,20,2017/18,Pakistan,ICC World XI,ICC World XI,field,Gaddafi Stadium,20
Lahore,Independence Cup,2017-09-13,620,NLTC Perera,ICC World XI,wickets,20,2017/18,Pakistan,ICC World XI,Pakistan,bat,Gaddafi Stadium,7
Lahore,Independence Cup,2017-09-15,621,Ahmed Shehzad,Pakistan,runs,20,2017/18,Pakistan,ICC World XI,ICC World XI,field,Gaddafi Stadium,33
Abu Dhabi,Sri Lanka tour of United Arab Emirates and Pakistan,2017-10-26,625,Usman Shinwari,Pakistan,wickets,20,2017/18,Sri Lanka,Pakistan,Pakistan,field,Sheikh Zayed Stadium,7
Abu Dhabi,Sri Lanka tour of United Arab Emirates and Pakistan,2017-10-27,627,Shadab Khan,Pakistan,wickets,20,2017/18,Sri Lanka,Pakistan,Pakistan,field,Sheikh Zayed Stadium,2
Lahore,Sri Lanka tour of United Arab Emirates and Pakistan,2017-10-29,629,Shoaib Malik,Pakistan,runs,20,2017/18,Pakistan,Sri Lanka,Sri Lanka,field,Gaddafi Stadium,36
Edinburgh,"Pakistan tour of Ireland, England and Scotland",2018-06-12,671,Sarfraz Ahmed,Pakistan,runs,20,2018,Pakistan,Scotland,Pakistan,bat,"Grange Cricket Club, Raeburn Place",48
Edinburgh,"Pakistan tour of Ireland, England and Scotland",2018-06-13,673,Usman Shinwari,Pakistan,runs,20,2018,Pakistan,Scotland,Pakistan,bat,"Grange Cricket Club, Raeburn Place",84
Karachi,West Indies tour of Pakistan,2018-04-01,663,Hussain Talat,Pakistan,runs,20,2018,Pakistan,West Indies,West Indies,field,National Stadium,143
Karachi,West Indies tour of Pakistan,2018-04-02,664,Babar Azam,Pakistan,runs,20,2018,Pakistan,West Indies,Pakistan,bat,National Stadium,82
Karachi,West Indies tour of Pakistan,2018-04-03,665,Fakhar Zaman,Pakistan,wickets,20,2018,West Indies,Pakistan,West Indies,bat,National Stadium,8
no result,Zimbabwe Twenty20 Tri-Series,2018-07-01,681,Asif Ali,Pakistan,runs,20,2018,Pakistan,Zimbabwe,Zimbabwe,field,Harare Sports Club,74
no result,Zimbabwe Twenty20 Tri-Series,2018-07-02,682,B Stanlake,Australia,wickets,20,2018,Pakistan,Australia,Australia,field,Harare Sports Club,9
no result,Zimbabwe Twenty20 Tri-Series,2018-07-04,685,SF Mire,Pakistan,wickets,20,2018,Zimbabwe,Pakistan,Pakistan,field,Harare Sports Club,7
no result,Zimbabwe Twenty20 Tri-Series,2018-07-05,686,Fakhar Zaman,Pakistan,runs,20,2018,Pakistan,Australia,Australia,field,Harare Sports Club,45
no result,Zimbabwe Twenty20 Tri-Series,2018-07-08,689,Fakhar Zaman,Pakistan,wickets,20,2018,Australia,Pakistan,Australia,bat,Harare Sports Club,6
Cape Town,Pakistan tour of South Africa,2019-02-01,732,DA Miller,South Africa,runs,20,2018/19,South Africa,Pakistan,Pakistan,field,Newlands,6
Johannesburg,Pakistan tour of South Africa,2019-02-03,734,DA Miller,South Africa,runs,20,2018/19,South Africa,Pakistan,Pakistan,field,The Wanderers Stadium,7
Centurion,Pakistan tour of South Africa,2019-02-06,736,Shadab Khan,Pakistan,runs,20,2018/19,South Africa,Pakistan,South Africa,field,SuperSport Park,27
Cardiff,Pakistan tour of England,2019-05-05,772,EJG Morgan,England,wickets,20,2019,England,Pakistan,Pakistan,bat,Sophia Gardens,7
Abu Dhabi,Australia tour of United Arab Emirates,2018-10-24,701,Imad Wasim,Pakistan,runs,20,2018/19,Pakistan,Australia,Australia,field,Sheikh Zayed Stadium,66
no result,Australia tour of United Arab Emirates,2018-10-26,702,Imad Wasim,Pakistan,runs,20,2018/19,Pakistan,Australia,Pakistan,bat,Dubai International Cricket Stadium,11
no result,Australia tour of United Arab Emirates,2018-10-28,704,Shadab Khan,Pakistan,runs,20,2018/19,Pakistan,Australia,Pakistan,bat,Dubai International Cricket Stadium,33
Abu Dhabi,New Zealand tour of United Arab Emirates,2018-10-31,705,Mohammad Hafeez,Pakistan,runs,20,2018/19,Pakistan,New Zealand,Pakistan,bat,Sheikh Zayed Stadium,2
no result,New Zealand tour of United Arab Emirates,2018-11-02,706,Shaheen Shah Afridi,Pakistan,wickets,20,2018/19,New Zealand,Pakistan,New Zealand,bat,Dubai International Cricket Stadium,6
no result,New Zealand tour of United Arab Emirates,2018-11-04,708,Babar Azam,Pakistan,runs,20,2018/19,Pakistan,New Zealand,Pakistan,bat,Dubai International Cricket Stadium,47
Sydney,Pakistan tour of Australia,2019-11-03,999,no result,no result,no result,20,2019/20,Australia,Pakistan,Australia,field,Sydney Cricket Ground,no result
Canberra,Pakistan tour of Australia,2019-11-05,1002,SPD Smith,Australia,wickets,20,2019/20,Australia,Pakistan,Pakistan,bat,Manuka Oval,7
Perth,Pakistan tour of Australia,2019-11-08,1009,SA Abbott,Australia,wickets,20,2019/20,Australia,Pakistan,Australia,field,Perth Stadium,10
Manchester,Pakistan tour of England,2020-08-28,1087,no result,no result,no result,20,2020,England,Pakistan,Pakistan,field,Old Trafford,no result
Manchester,Pakistan tour of England,2020-08-30,1093,EJG Morgan,England,wickets,20,2020,Pakistan,England,England,field,Old Trafford,5
Manchester,Pakistan tour of England,2020-09-01,1094,Mohammad Hafeez,Pakistan,runs,20,2020,Pakistan,England,England,field,Old Trafford,5
Lahore,Sri Lanka tour of Pakistan,2019-10-05,914,MD Gunathilaka,Sri Lanka,runs,20,2019/20,Pakistan,Sri Lanka,Pakistan,field,Gaddafi Stadium,64
Lahore,Sri Lanka tour of Pakistan,2019-10-07,922,PBB Rajapaksa,Sri Lanka,runs,20,2019/20,Pakistan,Sri Lanka,Sri Lanka,bat,Gaddafi Stadium,35
Lahore,Sri Lanka tour of Pakistan,2019-10-09,925,PWH de Silva,Sri Lanka,runs,20,2019/20,Pakistan,Sri Lanka,Sri Lanka,bat,Gaddafi Stadium,13
Lahore,Bangladesh tour of Pakistan,2020-01-24,1032,Shoaib Malik,Pakistan,wickets,20,2019/20,Pakistan,Bangladesh,Bangladesh,bat,Gaddafi Stadium,5
Lahore,Bangladesh tour of Pakistan,2020-01-25,1033,Babar Azam,Pakistan,wickets,20,2019/20,Pakistan,Bangladesh,Bangladesh,bat,Gaddafi Stadium,9
no result,Zimbabwe tour of Pakistan,2020-11-07,1105,Babar Azam,Pakistan,wickets,20,2020/21,Zimbabwe,Pakistan,Zimbabwe,bat,Rawalpindi Cricket Stadium,6
no result,Zimbabwe tour of Pakistan,2020-11-08,1106,Haider Ali,Pakistan,wickets,20,2020/21,Zimbabwe,Pakistan,Pakistan,field,Rawalpindi Cricket Stadium,8
no result,Zimbabwe tour of Pakistan,2020-11-10,1107,Usman Qadir,Pakistan,wickets,20,2020/21,Zimbabwe,Pakistan,Zimbabwe,bat,Rawalpindi Cricket Stadium,8
Auckland,Pakistan tour of New Zealand,2020-12-18,1117,JA Duffy,New Zealand,wickets,20,2020/21,Pakistan,New Zealand,Pakistan,bat,Eden Park,5
Hamilton,Pakistan tour of New Zealand,2020-12-20,1118,TG Southee,New Zealand,wickets,20,2020/21,Pakistan,New Zealand,Pakistan,bat,Seddon Park,9
Napier,Pakistan tour of New Zealand,2020-12-22,1119,Mohammad Rizwan,Pakistan,wickets,20,2020/21,New Zealand,Pakistan,Pakistan,field,McLean Park,4
Nottingham,Pakistan tour of England,2021-07-16,1191,Shaheen Shah Afridi,Pakistan,runs,20,2021,Pakistan,England,England,field,"Trent Bridge, Nottingham",31
Leeds,Pakistan tour of England,2021-07-18,1193,MM Ali,England,runs,20,2021,England,Pakistan,Pakistan,field,"Headingley, Leeds",45
Manchester,Pakistan tour of England,2021-07-20,1195,JJ Roy,England,wickets,20,2021,Pakistan,England,Pakistan,bat,"Old Trafford, Manchester",3
Lahore,South Africa tour of Pakistan,2021-02-11,1120,Mohammad Rizwan,Pakistan,runs,20,2020/21,Pakistan,South Africa,South Africa,field,Gaddafi Stadium,3
Lahore,South Africa tour of Pakistan,2021-02-13,1121,D Pretorius,South Africa,wickets,20,2020/21,Pakistan,South Africa,South Africa,field,Gaddafi Stadium,6
Lahore,South Africa tour of Pakistan,2021-02-14,1122,Mohammad Nawaz (3),Pakistan,wickets,20,2020/21,South Africa,Pakistan,Pakistan,field,Gaddafi Stadium,4
Johannesburg,Pakistan tour of South Africa,2021-04-10,1145,Mohammad Rizwan,Pakistan,wickets,20,2021,South Africa,Pakistan,South Africa,bat,"The Wanderers Stadium, Johannesburg",4
Johannesburg,Pakistan tour of South Africa,2021-04-12,1146,GF Linde,South Africa,wickets,20,2021,Pakistan,South Africa,Pakistan,bat,"The Wanderers Stadium, Johannesburg",6
Centurion,Pakistan tour of South Africa,2021-04-14,1147,Babar Azam,Pakistan,wickets,20,2021,South Africa,Pakistan,Pakistan,field,"SuperSport Park, Centurion",9
Centurion,Pakistan tour of South Africa,2021-04-16,1148,Faheem Ashraf,Pakistan,wickets,20,2021,South Africa,Pakistan,Pakistan,field,"SuperSport Park, Centurion",3
Harare,Pakistan tour of Zimbabwe,2021-04-21,1154,Mohammad Rizwan,Pakistan,runs,20,2021,Pakistan,Zimbabwe,Zimbabwe,field,Harare Sports Club,11
Harare,Pakistan tour of Zimbabwe,2021-04-23,1156,LM Jongwe,Zimbabwe,runs,20,2021,Zimbabwe,Pakistan,Pakistan,field,Harare Sports Club,19
Harare,Pakistan tour of Zimbabwe,2021-04-25,1158,Hasan Ali,Pakistan,runs,20,2021,Pakistan,Zimbabwe,Pakistan,bat,Harare Sports Club,24
Bridgetown,Pakistan tour of West Indies,2021-07-28,1205,no result,no result,no result,20,2021,West Indies,Pakistan,Pakistan,field,"Kensington Oval, Bridgetown, Barbados",no result
Providence,Pakistan tour of West Indies,2021-07-31,1208,Mohammad Hafeez,Pakistan,runs,20,2021,Pakistan,West Indies,West Indies,field,"Providence Stadium, Guyana",7
Providence,Pakistan tour of West Indies,2021-08-01,1209,no result,no result,no result,20,2021,West Indies,Pakistan,West Indies,bat,"Providence Stadium, Guyana",no result
Providence,Pakistan tour of West Indies,2021-08-03,1211,no result,no result,no result,20,2021,West Indies,Pakistan,Pakistan,field,"Providence Stadium, Guyana",no result
Dubai,ICC Men's T20 World Cup,2021-10-24,1361,Shaheen Shah Afridi,Pakistan,wickets,20,2021/22,India,Pakistan,Pakistan,field,Dubai International Cricket Stadium,10
Sharjah,ICC Men's T20 World Cup,2021-10-26,1367,Haris Rauf,Pakistan,wickets,20,2021/22,New Zealand,Pakistan,Pakistan,field,Sharjah Cricket Stadium,5
Abu Dhabi,ICC Men's T20 World Cup,2021-11-02,1386,Mohammad Rizwan,Pakistan,runs,20,2021/22,Pakistan,Namibia,Pakistan,bat,"Zayed Cricket Stadium, Abu Dhabi",45
Sharjah,ICC Men's T20 World Cup,2021-11-07,1406,Shoaib Malik,Pakistan,runs,20,2021/22,Pakistan,Scotland,Pakistan,bat,Sharjah Cricket Stadium,72
Dubai,ICC Men's T20 World Cup,2021-11-11,1420,MS Wade,Australia,wickets,20,2021/22,Pakistan,Australia,Australia,field,Dubai International Cricket Stadium,5
Dhaka,Pakistan tour of Bangladesh,2021-11-19,1439,Hasan Ali,Pakistan,wickets,20,2021/22,Bangladesh,Pakistan,Bangladesh,bat,"Shere Bangla National Stadium, Mirpur",4
Dhaka,Pakistan tour of Bangladesh,2021-11-20,1443,Fakhar Zaman,Pakistan,wickets,20,2021/22,Bangladesh,Pakistan,Bangladesh,bat,"Shere Bangla National Stadium, Mirpur",8
Dhaka,Pakistan tour of Bangladesh,2021-11-22,1447,Haider Ali,Pakistan,wickets,20,2021/22,Bangladesh,Pakistan,Bangladesh,bat,"Shere Bangla National Stadium, Mirpur",5
Karachi,West Indies tour of Pakistan,2021-12-13,1448,Haider Ali,Pakistan,runs,20,2021/22,Pakistan,West Indies,West Indies,field,"National Stadium, Karachi",63
Karachi,West Indies tour of Pakistan,2021-12-14,1449,Shadab Khan,Pakistan,runs,20,2021/22,Pakistan,West Indies,Pakistan,bat,"National Stadium, Karachi",9
Karachi,West Indies tour of Pakistan,2021-12-16,1450,Mohammad Rizwan,Pakistan,wickets,20,2021/22,West Indies,Pakistan,West Indies,bat,"National Stadium, Karachi",7
Lahore,Australia tour of Pakistan,2022-04-05,1504,AJ Finch,Australia,wickets,20,2021/22,Pakistan,Australia,Australia,field,"Gaddafi Stadium, Lahore",3
Melbourne,ICC Men's T20 World Cup,2022-10-23,1842,V Kohli,India,wickets,20,2022/23,Pakistan,India,India,field,Melbourne Cricket Ground,4
Perth,ICC Men's T20 World Cup,2022-10-27,1849,Sikandar Raza,Zimbabwe,runs,20,2022/23,Zimbabwe,Pakistan,Zimbabwe,bat,Perth Stadium,1
Perth,ICC Men's T20 World Cup,2022-10-30,1852,Shadab Khan,Pakistan,wickets,20,2022/23,Netherlands,Pakistan,Netherlands,bat,Perth Stadium,6
Sydney,ICC Men's T20 World Cup,2022-11-03,1861,Shadab Khan,Pakistan,runs,20,2022/23,Pakistan,South Africa,Pakistan,bat,Sydney Cricket Ground,33
Adelaide,ICC Men's T20 World Cup,2022-11-06,1872,Shaheen Shah Afridi,Pakistan,wickets,20,2022/23,Bangladesh,Pakistan,Bangladesh,bat,Adelaide Oval,5
Sydney,ICC Men's T20 World Cup,2022-11-09,1877,Mohammad Rizwan,Pakistan,wickets,20,2022/23,New Zealand,Pakistan,New Zealand,bat,Sydney Cricket Ground,7
Melbourne,ICC Men's T20 World Cup,2022-11-13,1879,SM Curran,England,wickets,20,2022/23,Pakistan,England,England,field,Melbourne Cricket Ground,5
Christchurch,New Zealand T20I Tri-Series,2022-10-07,1807,Mohammad Rizwan,Pakistan,runs,20,2022/23,Pakistan,Bangladesh,Bangladesh,field,"Hagley Oval, Christchurch",21
Christchurch,New Zealand T20I Tri-Series,2022-10-08,1809,Babar Azam,Pakistan,wickets,20,2022/23,New Zealand,Pakistan,New Zealand,bat,"Hagley Oval, Christchurch",6
Christchurch,New Zealand T20I Tri-Series,2022-10-11,1815,MG Bracewell,New Zealand,wickets,20,2022/23,Pakistan,New Zealand,Pakistan,bat,"Hagley Oval, Christchurch",9
Christchurch,New Zealand T20I Tri-Series,2022-10-13,1818,Mohammad Rizwan,Pakistan,wickets,20,2022/23,Bangladesh,Pakistan,Bangladesh,bat,"Hagley Oval, Christchurch",7
Christchurch,New Zealand T20I Tri-Series,2022-10-14,1819,Mohammad Nawaz,Pakistan,wickets,20,2022/23,New Zealand,Pakistan,Pakistan,field,"Hagley Oval, Christchurch",5
Karachi,England tour of Pakistan,2022-09-20,1789,L Wood,England,wickets,20,2022,Pakistan,England,England,field,"National Stadium, Karachi",6
Karachi,England tour of Pakistan,2022-09-22,1793,Babar Azam,Pakistan,wickets,20,2022,England,Pakistan,England,bat,"National Stadium, Karachi",10
Karachi,England tour of Pakistan,2022-09-23,1795,HC Brook,England,runs,20,2022,England,Pakistan,Pakistan,field,"National Stadium, Karachi",63
Karachi,England tour of Pakistan,2022-09-25,1798,Haris Rauf,Pakistan,runs,20,2022,Pakistan,England,England,field,"National Stadium, Karachi",3
Lahore,England tour of Pakistan,2022-09-28,1801,Mohammad Rizwan,Pakistan,runs,20,2022,Pakistan,England,England,field,"Gaddafi Stadium, Lahore",6
Lahore,England tour of Pakistan,2022-09-30,1802,PD Salt,England,wickets,20,2022,Pakistan,England,England,field,"Gaddafi Stadium, Lahore",8
Lahore,England tour of Pakistan,2022-10-02,1804,DJ Malan,England,runs,20,2022,England,Pakistan,Pakistan,field,"Gaddafi Stadium, Lahore",67
Dubai,Asia Cup,2022-08-28,1750,HH Pandya,India,wickets,20,2022,Pakistan,India,India,field,Dubai International Cricket Stadium,5
Sharjah,Asia Cup,2022-09-02,1756,Mohammad Rizwan,Pakistan,runs,20,2022,Pakistan,Hong Kong,Hong Kong,field,Sharjah Cricket Stadium,155
Dubai,Asia Cup,2022-09-04,1758,Mohammad Nawaz,Pakistan,wickets,20,2022,India,Pakistan,Pakistan,field,Dubai International Cricket Stadium,5
Dubai,Asia Cup,2022-09-09,1764,PWH de Silva,Sri Lanka,wickets,20,2022,Pakistan,Sri Lanka,Sri Lanka,field,Dubai International Cricket Stadium,5
Dubai,Asia Cup,2022-09-11,1769,PBB Rajapaksa,Sri Lanka,runs,20,2022,Sri Lanka,Pakistan,Pakistan,field,Dubai International Cricket Stadium,23
Lahore,New Zealand tour of Pakistan,2023-04-14,2045,Haris Rauf,Pakistan,runs,20,2023,Pakistan,New Zealand,Pakistan,bat,"Gaddafi Stadium, Lahore",88
Lahore,New Zealand tour of Pakistan,2023-04-15,2046,Babar Azam,Pakistan,runs,20,2023,Pakistan,New Zealand,Pakistan,bat,"Gaddafi Stadium, Lahore",38
Lahore,New Zealand tour of Pakistan,2023-04-17,2047,TWM Latham,New Zealand,runs,20,2023,New Zealand,Pakistan,New Zealand,bat,"Gaddafi Stadium, Lahore",4
Rawalpindi,New Zealand tour of Pakistan,2023-04-20,2048,no result,no result,no result,20,2023,New Zealand,Pakistan,Pakistan,field,Rawalpindi Cricket Stadium,no result
Rawalpindi,New Zealand tour of Pakistan,2023-04-24,2049,MS Chapman,New Zealand,wickets,20,2023,Pakistan,New Zealand,New Zealand,field,Rawalpindi Cricket Stadium,6
Birmingham,Pakistan tour of England,2024-05-25,2623,JC Buttler,England,runs,20,2024,England,Pakistan,Pakistan,field,"Edgbaston, Birmingham",23
London,Pakistan tour of England,2024-05-30,2631,AU Rashid,England,wickets,20,2024,Pakistan,England,England,field,"Kennington Oval, London",7
Auckland,Pakistan tour of New Zealand,2024-01-12,2429,DJ Mitchell,New Zealand,runs,20,2023/24,New Zealand,Pakistan,Pakistan,field,"Eden Park, Auckland",46
Hamilton,Pakistan tour of New Zealand,2024-01-14,2430,FH Allen,New Zealand,runs,20,2023/24,New Zealand,Pakistan,Pakistan,field,"Seddon Park, Hamilton",21
Dunedin,Pakistan tour of New Zealand,2024-01-17,2434,FH Allen,New Zealand,runs,20,2023/24,New Zealand,Pakistan,Pakistan,field,"University Oval, Dunedin",45
Christchurch,Pakistan tour of New Zealand,2024-01-19,2437,DJ Mitchell,New Zealand,wickets,20,2023/24,Pakistan,New Zealand,New Zealand,field,"Hagley Oval, Christchurch",7
Christchurch,Pakistan tour of New Zealand,2024-01-21,2438,Iftikhar Ahmed,Pakistan,runs,20,2023/24,Pakistan,New Zealand,Pakistan,bat,"Hagley Oval, Christchurch",42
Hangzhou,Asian Games Men's Cricket Competition,2023-10-03,2279,no result,Pakistan,runs,20,2023,Pakistan,Hong Kong,Hong Kong,field,Zhejiang University of Technology Cricket Field,68
